Time[s] TxPosX[m] TxPosY[m] RxPosX[m] RxPosY[m] ChannelState SNR[dB] Pathloss[dB]
1.23 0 0 -20 0 LOS -inf 66.3958
1.24 0 0 -20 0 LOS -inf 66.3961
1.25 0 0 -20 0 LOS -inf 66.3963
1.26 0 0 -20 0 LOS -inf 66.3966
1.27 0 0 -20 0 LOS -inf 66.3969
1.28 0 0 -20 0 LOS -inf 66.3972
1.29 0 0 -20 0 LOS -inf 66.3974
1.3 0 0 -20 0 LOS -inf 66.3977
1.31 0 0 -20 0 LOS -inf 66.398
1.32 0 0 -20 0 LOS -inf 66.3983
1.33 0 0 -20 0 LOS -inf 66.3986
1.34 0 0 -20 0 LOS -inf 66.3989
1.35 0 0 -20 0 LOS -inf 66.3991
1.36 0 0 -20 0 LOS -inf 66.3994
1.37 0 0 -20 0 LOS -inf 66.3997
1.38 0 0 -20 0 LOS -inf 66.4
1.39 0 0 -20 0 LOS -inf 66.4003
1.4 0 0 -20 0 LOS -inf 66.4006
1.41 0 0 -20 0 LOS -inf 66.4009
1.42 0 0 -20 0 LOS -inf 66.4012
1.43 0 0 -20 0 LOS -inf 66.4015
1.44 0 0 -20 0 LOS -inf 66.4019
1.45 0 0 -20 0 LOS -inf 66.4022
1.46 0 0 -20 0 LOS -inf 66.4025
1.47 0 0 -20 0 LOS -inf 66.4028
1.48 0 0 -20 0 LOS -inf 66.4031
1.49 0 0 -20 0 LOS -inf 66.4034
1.5 0 0 -20 0 LOS -inf 66.4038
1.51 0 0 -20 0 LOS -inf 66.4041
1.52 0 0 -20 0 LOS -inf 66.4044
1.53 0 0 -20 0 LOS -inf 66.4047
1.54 0 0 -20 0 LOS -inf 66.4051
1.55 0 0 -20 0 LOS -inf 66.4054
1.56 0 0 -20 0 LOS -inf 66.4057
1.57 0 0 -20 0 LOS -inf 66.4061
1.58 0 0 -20 0 LOS -inf 66.4064
1.59 0 0 -20 0 LOS -inf 66.4068
1.6 0 0 -20 0 LOS -inf 66.4071
1.61 0 0 -20 0 LOS -inf 66.4075
