theta_rad,phi_rad,gain_db
-0.607375,-2.82743,-1.08
-0.544543,-2.82743,-1.08
-0.481711,-2.82743,-1.08
-0.418879,-2.82743,-1.08
-0.356047,-2.82743,-1.08
-0.293215,-2.82743,-1.08
-0.230383,-2.82743,-1.08
-0.167552,-2.82743,-1.08
-0.10472,-2.82743,-1.08
-0.0418879,-2.82743,-1.08
0.020944,-2.82743,-20
0.0837758,-2.82743,-20
0.146608,-2.82743,-20
0.20944,-2.82743,-20
0.272271,-2.82743,-20
0.335103,-2.82743,-20
0.397935,-2.82743,-20
0.460767,-2.82743,-20
0.523599,-2.82743,-20
0.586431,-2.82743,-20
0.649262,-2.82743,-20
0.712094,-2.82743,-20
0.774926,-2.82743,-20
0.837758,-2.82743,-20
0.90059,-2.82743,-20
0.963422,-2.82743,-20
1.02625,-2.82743,-20
-1.0472,-2.7646,-1.5552
-0.984366,-2.7646,-1.5552
-0.921534,-2.7646,-1.5552
-0.858702,-2.7646,-1.5552
-0.79587,-2.7646,-1.5552
-0.733038,-2.7646,-1.5552
-0.670206,-2.7646,-1.5552
-0.607375,-2.7646,-1.5552
-0.544543,-2.7646,-1.5552
-0.481711,-2.7646,-1.5552
-0.418879,-2.7646,-1.5552
-0.356047,-2.7646,-1.5552
-0.293215,-2.7646,-1.5552
-0.230383,-2.7646,-1.5552
-0.167552,-2.7646,-1.5552
-0.10472,-2.7646,-1.5552
-0.0418879,-2.7646,-1.5552
0.020944,-2.7646,-20
0.0837758,-2.7646,-20
0.146608,-2.7646,-20
0.20944,-2.7646,-20
0.272271,-2.7646,-20
0.335103,-2.7646,-20
0.397935,-2.7646,-20
0.460767,-2.7646,-20
0.523599,-2.7646,-20
0.586431,-2.7646,-20
0.649262,-2.7646,-20
0.712094,-2.7646,-20
0.774926,-2.7646,-20
0.837758,-2.7646,-20
0.90059,-2.7646,-20
0.963422,-2.7646,-20
1.02625,-2.7646,-20
-1.0472,-2.70177,-2.1168
-0.984366,-2.70177,-2.1168
-0.921534,-2.70177,-2.1168
-0.858702,-2.70177,-2.1168
-0.79587,-2.70177,-2.1168
-0.733038,-2.70177,-2.1168
-0.670206,-2.70177,-2.1168
-0.607375,-2.70177,-2.1168
-0.544543,-2.70177,-2.1168
-0.481711,-2.70177,-2.1168
-0.418879,-2.70177,-2.1168
-0.356047,-2.70177,-2.1168
-0.293215,-2.70177,-2.1168
-0.230383,-2.70177,-2.1168
-0.167552,-2.70177,-2.1168
-0.10472,-2.70177,-2.1168
-0.0418879,-2.70177,-2.1168
0.020944,-2.70177,-20
0.0837758,-2.70177,-20
0.146608,-2.70177,-20
0.20944,-2.70177,-20
0.272271,-2.70177,-20
0.335103,-2.70177,-20
0.397935,-2.70177,-20
0.460767,-2.70177,-20
0.523599,-2.70177,-20
0.586431,-2.70177,-20
0.649262,-2.70177,-20
0.712094,-2.70177,-20
0.774926,-2.70177,-20
0.837758,-2.70177,-20
0.90059,-2.70177,-20
0.963422,-2.70177,-20
1.02625,-2.70177,-20
-1.0472,-2.63894,-2.7648
-0.984366,-2.63894,-2.7648
-0.921534,-2.63894,-2.7648
-0.858702,-2.63894,-2.7648
-0.79587,-2.63894,-2.7648
-0.733038,-2.63894,-2.7648
-0.670206,-2.63894,-2.7648
-0.607375,-2.63894,-2.7648
-0.544543,-2.63894,-2.7648
-0.481711,-2.63894,-2.7648
-0.418879,-2.63894,-2.7648
-0.356047,-2.63894,-2.7648
-0.293215,-2.63894,-2.7648
-0.230383,-2.63894,-2.7648
-0.167552,-2.63894,-2.7648
-0.10472,-2.63894,-2.7648
-0.0418879,-2.63894,-2.7648
0.020944,-2.63894,-20
0.0837758,-2.63894,-20
0.146608,-2.63894,-20
0.20944,-2.63894,-20
0.272271,-2.63894,-20
0.335103,-2.63894,-20
0.397935,-2.63894,-20
0.460767,-2.63894,-20
0.523599,-2.63894,-20
0.586431,-2.63894,-20
0.649262,-2.63894,-20
0.712094,-2.63894,-20
0.774926,-2.63894,-20
0.837758,-2.63894,-20
0.90059,-2.63894,-20
0.963422,-2.63894,-20
1.02625,-2.63894,-20
-1.0472,-2.57611,-3.4992
-0.984366,-2.57611,-3.4992
-0.921534,-2.57611,-3.4992
-0.858702,-2.57611,-3.4992
-0.79587,-2.57611,-3.4992
-0.733038,-2.57611,-3.4992
-0.670206,-2.57611,-3.4992
-0.607375,-2.57611,-3.4992
-0.544543,-2.57611,-3.4992
-0.481711,-2.57611,-3.4992
-0.418879,-2.57611,-3.4992
-0.356047,-2.57611,-3.4992
-0.293215,-2.57611,-3.4992
-0.230383,-2.57611,-3.4992
-0.167552,-2.57611,-3.4992
