theta_rad,phi_rad,gain_db
1.75929,-2.89027,-20
1.82212,-2.89027,-20
1.88496,-2.89027,-20
1.94779,-2.89027,-20
2.01062,-2.89027,-20
2.07345,-2.89027,-20
2.13628,-2.89027,-20
2.19911,-2.89027,-20
2.26195,-2.89027,-20
2.32478,-2.89027,-20
2.38761,-2.89027,-20
2.45044,-2.89027,-20
2.51327,-2.89027,-20
2.57611,-2.89027,-20
2.63894,-2.89027,-20
2.70177,-2.89027,-20
2.7646,-2.89027,-20
2.82743,-2.89027,-20
2.89027,-2.89027,-20
2.9531,-2.89027,-20
3.01593,-2.89027,-20
3.07876,-2.89027,-20
0,-2.82743,-20
0.0628319,-2.82743,-20
0.125664,-2.82743,-20
0.188496,-2.82743,-20
0.251327,-2.82743,-20
0.314159,-2.82743,-20
0.376991,-2.82743,-20
0.439823,-2.82743,-20
0.502655,-2.82743,-20
0.565487,-2.82743,-20
0.628319,-2.82743,-20
0.69115,-2.82743,-20
0.753982,-2.82743,-20
0.816814,-2.82743,-20
0.879646,-2.82743,-20
0.942478,-2.82743,-20
1.00531,-2.82743,-20
1.06814,-2.82743,-20
1.13097,-2.82743,-20
1.19381,-2.82743,-20
1.25664,-2.82743,-20
1.31947,-2.82743,-20
1.3823,-2.82743,-20
1.44513,-2.82743,-20
1.50796,-2.82743,-20
1.5708,-2.82743,-20
1.63363,-2.82743,-20
1.69646,-2.82743,-20
1.75929,-2.82743,-20
1.82212,-2.82743,-20
1.88496,-2.82743,-20
1.94779,-2.82743,-20
2.01062,-2.82743,-20
2.07345,-2.82743,-20
2.13628,-2.82743,-20
2.19911,-2.82743,-20
2.26195,-2.82743,-20
2.32478,-2.82743,-20
2.38761,-2.82743,-20
2.45044,-2.82743,-20
2.51327,-2.82743,-20
2.57611,-2.82743,-20
2.63894,-2.82743,-20
2.70177,-2.82743,-20
2.7646,-2.82743,-20
2.82743,-2.82743,-20
2.89027,-2.82743,-20
2.9531,-2.82743,-20
3.01593,-2.82743,-20
3.07876,-2.82743,-20
0,-2.7646,-20
0.0628319,-2.7646,-20
0.125664,-2.7646,-20
0.188496,-2.7646,-20
0.251327,-2.7646,-20
0.314159,-2.7646,-20
0.376991,-2.7646,-20
0.439823,-2.7646,-20
0.502655,-2.7646,-20
0.565487,-2.7646,-20
0.628319,-2.7646,-20
0.69115,-2.7646,-20
0.753982,-2.7646,-20
0.816814,-2.7646,-20
0.879646,-2.7646,-20
0.942478,-2.7646,-20
1.00531,-2.7646,-20
1.06814,-2.7646,-20
1.13097,-2.7646,-20
1.19381,-2.7646,-20
1.25664,-2.7646,-20
1.31947,-2.7646,-20
1.3823,-2.7646,-20
1.44513,-2.7646,-20
1.50796,-2.7646,-20
1.5708,-2.7646,-20
1.63363,-2.7646,-20
1.69646,-2.7646,-20
1.75929,-2.7646,-20
1.82212,-2.7646,-20
1.88496,-2.7646,-20
1.94779,-2.7646,-20
2.01062,-2.7646,-20
2.07345,-2.7646,-20
2.13628,-2.7646,-20
2.19911,-2.7646,-20
2.26195,-2.7646,-20
2.32478,-2.7646,-20
2.38761,-2.7646,-20
2.45044,-2.7646,-20
2.51327,-2.7646,-20
2.57611,-2.7646,-20
2.63894,-2.7646,-20
2.70177,-2.7646,-20
2.7646,-2.7646,-20
2.82743,-2.7646,-20
2.89027,-2.7646,-20
2.9531,-2.7646,-20
3.01593,-2.7646,-20
3.07876,-2.7646,-20
0,-2.70177,-20
0.0628319,-2.70177,-20
0.125664,-2.70177,-20
0.188496,-2.70177,-20
0.251327,-2.70177,-20
0.314159,-2.70177,-20
0.376991,-2.70177,-20
0.439823,-2.70177,-20
0.502655,-2.70177,-20
0.565487,-2.70177,-20
0.628319,-2.70177,-20
0.69115,-2.70177,-20
0.753982,-2.70177,-20
0.816814,-2.70177,-20
0.879646,-2.70177,-20
0.942478,-2.70177,-20
1.00531,-2.70177,-20
1.06814,-2.70177,-20
1.13097,-2.70177,-20
1.19381,-2.70177,-20
1.25664,-2.70177,-20
1.31947,-2.70177,-20
1.3823,-2.70177,-20
1.44513,-2.70177,-20
1.50796,-2.70177,-20
1.5708,-2.70177,-20
1.63363,-2.70177,-20
1.69646,-2.70177,-20
1.75929,-2.70177,-20
1.82212,-2.70177,-20
1.88496,-2.70177,-20
1.94779,-2.70177,-20
2.01062,-2.70177,-20
2.07345,-2.70177,-20
2.13628,-2.70177,-20
2.19911,-2.70177,-20
2.26195,-2.70177,-20
2.32478,-2.70177,-20
2.38761,-2.70177,-20
2.45044,-2.70177,-20
2.51327,-2.70177,-20
2.57611,-2.70177,-20
2.63894,-2.70177,-20
2.70177,-2.70177,-20
2.7646,-2.70177,-20
2.82743,-2.70177,-20
2.89027,-2.70177,-20
2.9531,-2.70177,-20
3.01593,-2.70177,-20
3.07876,-2.70177,-20
0,-2.63894,-20
0.0628319,-2.63894,-20
0.125664,-2.63894,-20
0.188496,-2.63894,-20
0.251327,-2.63894,-20
0.314159,-2.63894,-20
0.376991,-2.63894,-20
0.439823,-2.63894,-20
0.502655,-2.63894,-20
0.565487,-2.63894,-20
0.628319,-2.63894,-20
0.69115,-2.63894,-20
0.753982,-2.63894,-20
0.816814,-2.63894,-20
0.879646,-2.63894,-20
0.942478,-2.63894,-20
1.00531,-2.63894,-20
1.06814,-2.63894,-20
1.13097,-2.63894,-20
1.19381,-2.63894,-20
1.25664,-2.63894,-20
1.31947,-2.63894,-20
1.3823,-2.63894,-20
1.44513,-2.63894,-20
1.50796,-2.63894,-20
1.5708,-2.63894,-20
1.63363,-2.63894,-20
1.69646,-2.63894,-20
1.75929,-2.63894,-20
1.82212,-2.63894,-20
1.88496,-2.63894,-20
1.94779,-2.63894,-20
2.01062,-2.63894,-20
2.07345,-2.63894,-20
2.13628,-2.63894,-20
2.19911,-2.63894,-20
2.26195,-2.63894,-20
2.32478,-2.63894,-20
2.38761,-2.63894,-20
2.45044,-2.63894,-20
2.51327,-2.63894,-20
2.57611,-2.63894,-20
2.63894,-2.63894,-20
2.70177,-2.63894,-20
2.7646,-2.63894,-20
2.82743,-2.63894,-20
2.89027,-2.63894,-20
2.9531,-2.63894,-20
3.01593,-2.63894,-20
3.07876,-2.63894,-20
0,-2.57611,-20
0.0628319,-2.57611,-20
0.125664,-2.57611,-20
0.188496,-2.57611,-20
0.251327,-2.57611,-20
0.314159,-2.57611,-20
0.376991,-2.57611,-20
0.439823,-2.57611,-20
0.502655,-2.57611,-20
0.565487,-2.57611,-20
0.628319,-2.57611,-20
0.69115,-2.57611,-20
0.753982,-2.57611,-20
0.816814,-2.57611,-20
0.879646,-2.57611,-20
0.942478,-2.57611,-20
1.00531,-2.57611,-20
1.06814,-2.57611,-20
1.13097,-2.57611,-20
1.19381,-2.57611,-20
1.25664,-2.57611,-20
1.31947,-2.57611,-20
1.3823,-2.57611,-20
1.44513,-2.57611,-20
1.50796,-2.57611,-20
1.5708,-2.57611,-20
1.63363,-2.57611,-20
1.69646,-2.57611,-20
1.75929,-2.57611,-20
1.82212,-2.57611,-20
1.88496,-2.57611,-20
1.94779,-2.57611,-20
2.01062,-2.57611,-20
2.07345,-2.57611,-20
2.13628,-2.57611,-20
2.19911,-2.57611,-20
2.26195,-2.57611,-20
2.32478,-2.57611,-20
2.38761,-2.57611,-20
2.45044,-2.57611,-20
2.51327,-2.57611,-20
2.57611,-2.57611,-20
2.63894,-2.57611,-20
2.70177,-2.57611,-20
2.7646,-2.57611,-20
2.82743,-2.57611,-20
2.89027,-2.57611,-20
2.9531,-2.57611,-20
3.01593,-2.57611,-20
3.07876,-2.57611,-20
0,-2.51327,-20
0.0628319,-2.51327,-20
0.125664,-2.51327,-20
0.188496,-2.51327,-20
0.251327,-2.51327,-20
0.314159,-2.51327,-20
0.376991,-2.51327,-20
0.439823,-2.51327,-20
0.502655,-2.51327,-20
0.565487,-2.51327,-20
0.628319,-2.51327,-20
0.69115,-2.51327,-20
0.753982,-2.51327,-20
0.816814,-2.51327,-20
0.879646,-2.51327,-20
0.942478,-2.51327,-20
1.00531,-2.51327,-20
1.06814,-2.51327,-20
1.13097,-2.51327,-20
1.19381,-2.51327,-20
1.25664,-2.51327,-20
1.31947,-2.51327,-20
1.3823,-2.51327,-20
1.44513,-2.51327,-20
1.50796,-2.51327,-20
1.5708,-2.51327,-20
1.63363,-2.51327,-20
1.69646,-2.51327,-20
1.75929,-2.51327,-20
1.82212,-2.51327,-20
1.88496,-2.51327,-20
1.94779,-2.51327,-20
2.01062,-2.51327,-20
2.07345,-2.51327,-20
2.13628,-2.51327,-20
2.19911,-2.51327,-20
2.26195,-2.51327,-20
2.32478,-2.51327,-20
2.38761,-2.51327,-20
2.45044,-2.51327,-20
2.51327,-2.51327,-20
2.57611,-2.51327,-20
2.63894,-2.51327,-20
2.70177,-2.51327,-20
2.7646,-2.51327,-20
2.82743,-2.51327,-20
2.89027,-2.51327,-20
2.9531,-2.51327,-20
3.01593,-2.51327,-20
3.07876,-2.51327,-20
0,-2.45044,-20
0.0628319,-2.45044,-20
0.125664,-2.45044,-20
0.188496,-2.45044,-20
0.251327,-2.45044,-20
0.314159,-2.45044,-20
0.376991,-2.45044,-20
0.439823,-2.45044,-20
0.502655,-2.45044,-20
0.565487,-2.45044,-20
0.628319,-2.45044,-20
0.69115,-2.45044,-20
0.753982,-2.45044,-20
0.816814,-2.45044,-20
0.879646,-2.45044,-20
0.942478,-2.45044,-20
1.00531,-2.45044,-20
1.06814,-2.45044,-20
1.13097,-2.45044,-20
1.19381,-2.45044,-20
1.25664,-2.45044,-20
1.31947,-2.45044,-20
1.3823,-2.45044,-20
1.44513,-2.45044,-20
1.50796,-2.45044,-20
1.5708,-2.45044,-20
