theta_rad,phi_rad,gain_db,h_bw,v_bw,slav,mAtt,AEG
-0.628319,-2.9531,-22,65,65,30,30,8
-0.565487,-2.9531,-22,65,65,30,30,8
-0.502655,-2.9531,-22,65,65,30,30,8
-0.439823,-2.9531,-22,65,65,30,30,8
-0.376991,-2.9531,-22,65,65,30,30,8
-0.314159,-2.9531,-22,65,65,30,30,8
-0.251327,-2.9531,-22,65,65,30,30,8
-0.188496,-2.9531,-22,65,65,30,30,8
-0.125664,-2.9531,-22,65,65,30,30,8
-0.0628319,-2.9531,-22,65,65,30,30,8
2.77556e-15,-2.9531,-22,65,65,30,30,8
0.0628319,-2.9531,-22,65,65,30,30,8
0.125664,-2.9531,-22,65,65,30,30,8
0.188496,-2.9531,-22,65,65,30,30,8
0.251327,-2.9531,-22,65,65,30,30,8
0.314159,-2.9531,-22,65,65,30,30,8
0.376991,-2.9531,-22,65,65,30,30,8
0.439823,-2.9531,-22,65,65,30,30,8
0.502655,-2.9531,-22,65,65,30,30,8
0.565487,-2.9531,-22,65,65,30,30,8
0.628319,-2.9531,-22,65,65,30,30,8
0.69115,-2.9531,-22,65,65,30,30,8
0.753982,-2.9531,-22,65,65,30,30,8
0.816814,-2.9531,-22,65,65,30,30,8
0.879646,-2.9531,-22,65,65,30,30,8
0.942478,-2.9531,-22,65,65,30,30,8
1.00531,-2.9531,-22,65,65,30,30,8
1.06814,-2.9531,-22,65,65,30,30,8
1.13097,-2.9531,-22,65,65,30,30,8
1.19381,-2.9531,-22,65,65,30,30,8
1.25664,-2.9531,-22,65,65,30,30,8
1.31947,-2.9531,-22,65,65,30,30,8
1.3823,-2.9531,-22,65,65,30,30,8
1.44513,-2.9531,-22,65,65,30,30,8
1.50796,-2.9531,-22,65,65,30,30,8
1.5708,-2.9531,-22,65,65,30,30,8
1.63363,-2.9531,-22,65,65,30,30,8
1.69646,-2.9531,-22,65,65,30,30,8
1.75929,-2.9531,-22,65,65,30,30,8
1.82212,-2.9531,-22,65,65,30,30,8
1.88496,-2.9531,-22,65,65,30,30,8
1.94779,-2.9531,-22,65,65,30,30,8
2.01062,-2.9531,-22,65,65,30,30,8
2.07345,-2.9531,-22,65,65,30,30,8
2.13628,-2.9531,-22,65,65,30,30,8
2.19911,-2.9531,-22,65,65,30,30,8
2.26195,-2.9531,-22,65,65,30,30,8
2.32478,-2.9531,-22,65,65,30,30,8
2.38761,-2.9531,-22,65,65,30,30,8
2.45044,-2.9531,-22,65,65,30,30,8
2.51327,-2.9531,-22,65,65,30,30,8
2.57611,-2.9531,-22,65,65,30,30,8
2.63894,-2.9531,-22,65,65,30,30,8
2.70177,-2.9531,-22,65,65,30,30,8
2.7646,-2.9531,-22,65,65,30,30,8
2.82743,-2.9531,-22,65,65,30,30,8
2.89027,-2.9531,-22,65,65,30,30,8
2.9531,-2.9531,-22,65,65,30,30,8
3.01593,-2.9531,-22,65,65,30,30,8
3.07876,-2.9531,-22,65,65,30,30,8
-3.14159,-2.89027,-22,65,65,30,30,8
-3.07876,-2.89027,-22,65,65,30,30,8
-3.01593,-2.89027,-22,65,65,30,30,8
-2.9531,-2.89027,-22,65,65,30,30,8
-2.89027,-2.89027,-22,65,65,30,30,8
-2.82743,-2.89027,-22,65,65,30,30,8
-2.7646,-2.89027,-22,65,65,30,30,8
-2.70177,-2.89027,-22,65,65,30,30,8
-2.63894,-2.89027,-22,65,65,30,30,8
-2.57611,-2.89027,-22,65,65,30,30,8
-2.51327,-2.89027,-22,65,65,30,30,8
-2.45044,-2.89027,-22,65,65,30,30,8
-2.38761,-2.89027,-22,65,65,30,30,8
-2.32478,-2.89027,-22,65,65,30,30,8
-2.26195,-2.89027,-22,65,65,30,30,8
-2.19911,-2.89027,-22,65,65,30,30,8
-2.13628,-2.89027,-22,65,65,30,30,8
-2.07345,-2.89027,-22,65,65,30,30,8
-2.01062,-2.89027,-22,65,65,30,30,8
-1.94779,-2.89027,-22,65,65,30,30,8
-1.88496,-2.89027,-22,65,65,30,30,8
-1.82212,-2.89027,-22,65,65,30,30,8
-1.75929,-2.89027,-22,65,65,30,30,8
-1.69646,-2.89027,-22,65,65,30,30,8
-1.63363,-2.89027,-22,65,65,30,30,8
-1.5708,-2.89027,-22,65,65,30,30,8
-1.50796,-2.89027,-22,65,65,30,30,8
-1.44513,-2.89027,-22,65,65,30,30,8
-1.3823,-2.89027,-22,65,65,30,30,8
-1.31947,-2.89027,-22,65,65,30,30,8
-1.25664,-2.89027,-22,65,65,30,30,8
-1.19381,-2.89027,-22,65,65,30,30,8
-1.13097,-2.89027,-22,65,65,30,30,8
-1.06814,-2.89027,-22,65,65,30,30,8
-1.00531,-2.89027,-22,65,65,30,30,8
-0.942478,-2.89027,-22,65,65,30,30,8
-0.879646,-2.89027,-22,65,65,30,30,8
-0.816814,-2.89027,-22,65,65,30,30,8
-0.753982,-2.89027,-22,65,65,30,30,8
-0.69115,-2.89027,-22,65,65,30,30,8
-0.628319,-2.89027,-22,65,65,30,30,8
-0.565487,-2.89027,-22,65,65,30,30,8
-0.502655,-2.89027,-22,65,65,30,30,8
-0.439823,-2.89027,-22,65,65,30,30,8
-0.376991,-2.89027,-22,65,65,30,30,8
-0.314159,-2.89027,-22,65,65,30,30,8
-0.251327,-2.89027,-22,65,65,30,30,8
-0.188496,-2.89027,-22,65,65,30,30,8
-0.125664,-2.89027,-22,65,65,30,30,8
-0.0628319,-2.89027,-22,65,65,30,30,8
2.77556e-15,-2.89027,-22,65,65,30,30,8
0.0628319,-2.89027,-22,65,65,30,30,8
0.125664,-2.89027,-22,65,65,30,30,8
0.188496,-2.89027,-22,65,65,30,30,8
0.251327,-2.89027,-22,65,65,30,30,8
0.314159,-2.89027,-22,65,65,30,30,8
0.376991,-2.89027,-22,65,65,30,30,8
0.439823,-2.89027,-22,65,65,30,30,8
0.502655,-2.89027,-22,65,65,30,30,8
0.565487,-2.89027,-22,65,65,30,30,8
0.628319,-2.89027,-22,65,65,30,30,8
0.69115,-2.89027,-22,65,65,30,30,8
0.753982,-2.89027,-22,65,65,30,30,8
0.816814,-2.89027,-22,65,65,30,30,8
0.879646,-2.89027,-22,65,65,30,30,8
0.942478,-2.89027,-22,65,65,30,30,8
1.00531,-2.89027,-22,65,65,30,30,8
1.06814,-2.89027,-22,65,65,30,30,8
1.13097,-2.89027,-22,65,65,30,30,8
1.19381,-2.89027,-22,65,65,30,30,8
1.25664,-2.89027,-22,65,65,30,30,8
1.31947,-2.89027,-22,65,65,30,30,8
1.3823,-2.89027,-22,65,65,30,30,8
1.44513,-2.89027,-22,65,65,30,30,8
1.50796,-2.89027,-22,65,65,30,30,8
1.5708,-2.89027,-22,65,65,30,30,8
1.63363,-2.89027,-22,65,65,30,30,8
1.69646,-2.89027,-22,65,65,30,30,8
1.75929,-2.89027,-22,65,65,30,30,8
1.82212,-2.89027,-22,65,65,30,30,8
1.88496,-2.89027,-22,65,65,30,30,8
1.94779,-2.89027,-22,65,65,30,30,8
2.01062,-2.89027,-22,65,65,30,30,8
2.07345,-2.89027,-22,65,65,30,30,8
2.13628,-2.89027,-22,65,65,30,30,8
2.19911,-2.89027,-22,65,65,30,30,8
2.26195,-2.89027,-22,65,65,30,30,8
2.32478,-2.89027,-22,65,65,30,30,8
2.38761,-2.89027,-22,65,65,30,30,8
2.45044,-2.89027,-22,65,65,30,30,8
2.51327,-2.89027,-22,65,65,30,30,8
2.57611,-2.89027,-22,65,65,30,30,8
2.63894,-2.89027,-22,65,65,30,30,8
2.70177,-2.89027,-22,65,65,30,30,8
2.7646,-2.89027,-22,65,65,30,30,8
2.82743,-2.89027,-22,65,65,30,30,8
2.89027,-2.89027,-22,65,65,30,30,8
2.9531,-2.89027,-22,65,65,30,30,8
3.01593,-2.89027,-22,65,65,30,30,8
3.07876,-2.89027,-22,65,65,30,30,8
-3.14159,-2.82743,-22,65,65,30,30,8
-3.07876,-2.82743,-22,65,65,30,30,8
-3.01593,-2.82743,-22,65,65,30,30,8
-2.9531,-2.82743,-22,65,65,30,30,8
-2.89027,-2.82743,-22,65,65,30,30,8
-2.82743,-2.82743,-22,65,65,30,30,8
-2.7646,-2.82743,-22,65,65,30,30,8
-2.70177,-2.82743,-22,65,65,30,30,8
-2.63894,-2.82743,-22,65,65,30,30,8
-2.57611,-2.82743,-22,65,65,30,30,8
-2.51327,-2.82743,-22,65,65,30,30,8
-2.45044,-2.82743,-22,65,65,30,30,8
-2.38761,-2.82743,-22,65,65,30,30,8
-2.32478,-2.82743,-22,65,65,30,30,8
-2.26195,-2.82743,-22,65,65,30,30,8
-2.19911,-2.82743,-22,65,65,30,30,8
-2.13628,-2.82743,-22,65,65,30,30,8
-2.07345,-2.82743,-22,65,65,30,30,8
-2.01062,-2.82743,-22,65,65,30,30,8
-1.94779,-2.82743,-22,65,65,30,30,8
-1.88496,-2.82743,-22,65,65,30,30,8
-1.82212,-2.82743,-22,65,65,30,30,8
-1.75929,-2.82743,-22,65,65,30,30,8
-1.69646,-2.82743,-22,65,65,30,30,8
-1.63363,-2.82743,-22,65,65,30,30,8
-1.5708,-2.82743,-22,65,65,30,30,8
-1.50796,-2.82743,-22,65,65,30,30,8
-1.44513,-2.82743,-22,65,65,30,30,8
-1.3823,-2.82743,-22,65,65,30,30,8
-1.31947,-2.82743,-22,65,65,30,30,8
-1.25664,-2.82743,-22,65,65,30,30,8
-1.19381,-2.82743,-22,65,65,30,30,8
-1.13097,-2.82743,-22,65,65,30,30,8
-1.06814,-2.82743,-22,65,65,30,30,8
-1.00531,-2.82743,-22,65,65,30,30,8
-0.942478,-2.82743,-22,65,65,30,30,8
-0.879646,-2.82743,-22,65,65,30,30,8
-0.816814,-2.82743,-22,65,65,30,30,8
-0.753982,-2.82743,-22,65,65,30,30,8
-0.69115,-2.82743,-22,65,65,30,30,8
-0.628319,-2.82743,-22,65,65,30,30,8
-0.565487,-2.82743,-22,65,65,30,30,8
-0.502655,-2.82743,-22,65,65,30,30,8
-0.439823,-2.82743,-22,65,65,30,30,8
-0.376991,-2.82743,-22,65,65,30,30,8
-0.314159,-2.82743,-22,65,65,30,30,8
-0.251327,-2.82743,-22,65,65,30,30,8
-0.188496,-2.82743,-22,65,65,30,30,8
-0.125664,-2.82743,-22,65,65,30,30,8
-0.0628319,-2.82743,-22,65,65,30,30,8
2.77556e-15,-2.82743,-22,65,65,30,30,8
0.0628319,-2.82743,-22,65,65,30,30,8
0.125664,-2.82743,-22,65,65,30,30,8
0.188496,-2.82743,-22,65,65,30,30,8
0.251327,-2.82743,-22,65,65,30,30,8
0.314159,-2.82743,-22,65,65,30,30,8
0.376991,-2.82743,-22,65,65,30,30,8
0.439823,-2.82743,-22,65,65,30,30,8
0.502655,-2.82743,-22,65,65,30,30,8
0.565487,-2.82743,-22,65,65,30,30,8
0.628319,-2.82743,-22,65,65,30,30,8
0.69115,-2.82743,-22,65,65,30,30,8
0.753982,-2.82743,-22,65,65,30,30,8
